Company Location,Company Size,Employee Residence,Employment Type,Experience Level,Job Title,Salary Currency,Work Year,F1,Remote Ratio,Salary,Salary In Usd
NG,Large,NG,Full Time,Intermediate Level,Data Scientist,USD,2021,116,100,50000,50000
GR,Medium,GR,Full Time,Intermediate Level,Data Science Engineer,EUR,2021,117,100,34000,40189
US,Small,US,Full Time,Entry Level,Data Analyst,USD,2021,118,100,90000,90000
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2021,119,100,200000,200000
RO,Medium,ES,Full Time,Intermediate Level,Big Data Engineer,USD,2021,120,50,60000,60000
US,Medium,US,Full Time,Senior Level,Principal Data Engineer,USD,2021,121,100,200000,200000
US,Medium,US,Full Time,Entry Level,Data Analyst,USD,2021,122,100,50000,50000
GB,Large,GB,Full Time,Entry Level,Applied Data Scientist,GBP,2021,123,0,80000,110037
ES,Medium,ES,Part Time,Entry Level,Data Analyst,EUR,2021,124,50,8760,10354
US,Large,US,Full Time,Intermediate Level,Principal Data Scientist,USD,2021,125,100,151000,151000
US,Small,US,Full Time,Senior Level,Machine Learning Scientist,USD,2021,126,50,120000,120000
IN,Small,IN,Full Time,Intermediate Level,Data Scientist,INR,2021,127,0,700000,9466
IN,Small,IN,Full Time,Entry Level,Machine Learning Engineer,USD,2021,128,100,20000,20000
IN,Large,IN,Full Time,Senior Level,Lead Data Scientist,INR,2021,129,50,3000000,40570
IQ,Small,IQ,Full Time,Entry Level,Machine Learning Developer,USD,2021,130,50,100000,100000
FR,Medium,FR,Full Time,Entry Level,Data Scientist,EUR,2021,131,50,42000,49646
US,Medium,VN,Full Time,Intermediate Level,Applied Machine Learning Scientist,USD,2021,132,100,38400,38400
BR,Medium,BR,Full Time,Senior Level,Computer Vision Engineer,USD,2021,133,100,24000,24000
US,Small,US,Full Time,Entry Level,Data Scientist,USD,2021,134,0,100000,100000
US,Medium,US,Full Time,Intermediate Level,Data Analyst,USD,2021,135,100,90000,90000
JP,Small,JP,Full Time,Intermediate Level,ML Engineer,JPY,2021,136,50,7000000,63711
JP,Small,JP,Full Time,Intermediate Level,ML Engineer,JPY,2021,137,50,8500000,77364
US,Large,US,Full Time,Senior Level,Principal Data Scientist,USD,2021,138,0,220000,220000
US,Medium,US,Full Time,Entry Level,Data Scientist,USD,2021,139,100,80000,80000
US,Large,US,Full Time,Intermediate Level,Data Analyst,USD,2021,140,100,135000,135000
US,Large,US,Full Time,Senior Level,Data Science Manager,USD,2021,141,0,240000,240000
US,Large,US,Full Time,Senior Level,Data Engineering Manager,USD,2021,142,0,150000,150000
US,Small,US,Full Time,Intermediate Level,Data Scientist,USD,2021,143,100,82500,82500
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2021,144,100,100000,100000
BE,Medium,BE,Full Time,Senior Level,Machine Learning Engineer,EUR,2021,145,50,70000,82744
FR,Medium,FR,Full Time,Intermediate Level,Research Scientist,EUR,2021,146,50,53000,62649
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2021,147,100,90000,90000
US,Large,US,Full Time,Senior Level,Data Engineering Manager,USD,2021,148,100,153000,153000
US,Small,BR,Full Time,Senior Level,Cloud Data Engineer,USD,2021,149,100,160000,160000
JP,Small,JP,Full Time,Senior Level,Director of Data Science,USD,2021,150,0,168000,168000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2021,151,100,150000,150000
CA,Large,CA,Full Time,Intermediate Level,Data Scientist,CAD,2021,152,100,95000,75774
UA,Large,UA,Full Time,Entry Level,Data Scientist,USD,2021,153,100,13400,13400
US,Large,US,Full Time,Senior Level,Data Science Manager,USD,2021,154,100,144000,144000
CA,Large,CA,Full Time,Senior Level,Data Science Engineer,CAD,2021,155,50,159500,127221
IL,Medium,SG,Full Time,Intermediate Level,Data Scientist,SGD,2021,156,100,160000,119059
US,Large,US,Full Time,Intermediate Level,Applied Machine Learning Scientist,USD,2021,157,50,423000,423000
US,Medium,US,Full Time,Senior Level,Data Analytics Manager,USD,2021,158,100,120000,120000
US,Small,US,Full Time,Entry Level,Machine Learning Engineer,USD,2021,159,100,125000,125000
RU,Large,RU,Full Time,Expert Level,Head of Data,USD,2021,160,50,230000,230000
RU,Medium,RU,Full Time,Expert Level,Head of Data Science,USD,2021,161,0,85000,85000
MT,Large,MT,Full Time,Intermediate Level,Data Engineer,EUR,2021,162,50,24000,28369
DE,Large,DE,Full Time,Entry Level,Data Science Consultant,EUR,2021,163,50,54000,63831
DE,Medium,DE,Full Time,Expert Level,Director of Data Science,EUR,2021,164,50,110000,130026
US,Large,US,Full Time,Senior Level,Data Specialist,USD,2021,165,100,165000,165000
US,Large,US,Full Time,Entry Level,Data Engineer,USD,2021,166,100,80000,80000
US,Large,US,Full Time,Expert Level,Director of Data Science,USD,2021,167,0,250000,250000
US,Small,US,Full Time,Entry Level,BI Data Analyst,USD,2021,168,50,55000,55000
US,Large,US,Full Time,Intermediate Level,Data Architect,USD,2021,169,100,150000,150000
US,Large,US,Full Time,Intermediate Level,Data Architect,USD,2021,170,100,170000,170000
GB,Large,GB,Full Time,Intermediate Level,Data Engineer,GBP,2021,171,100,60000,82528
US,Small,US,Full Time,Entry Level,Data Analyst,USD,2021,172,100,60000,60000
US,Large,US,Full Time,Senior Level,Principal Data Scientist,USD,2021,173,100,235000,235000
PT,Large,PT,Full Time,Senior Level,Research Scientist,EUR,2021,174,50,51400,60757
US,Large,US,Full Time,Senior Level,Data Engineering Manager,USD,2021,175,100,174000,174000
MX,Small,MX,Full Time,Intermediate Level,Data Scientist,MXN,2021,176,0,58000,2859
CL,Large,CL,Full Time,Intermediate Level,Data Scientist,CLP,2021,177,100,30400000,40038
US,Small,US,Full Time,Entry Level,Machine Learning Engineer,USD,2021,178,50,81000,81000
US,Small,IN,Full Time,Intermediate Level,Data Scientist,INR,2021,179,100,420000,5679
IN,Large,IN,Full Time,Intermediate Level,Big Data Engineer,INR,2021,180,0,1672000,22611
DE,Large,DE,Full Time,Intermediate Level,Data Scientist,EUR,2021,181,50,76760,90734
US,Large,RO,Full Time,Intermediate Level,Data Engineer,EUR,2021,182,0,22000,26005
GB,Large,GB,Full Time,Senior Level,Finance Data Analyst,GBP,2021,183,50,45000,61896
PK,Medium,PK,Freelance,Intermediate Level,Machine Learning Scientist,USD,2021,184,50,12000,12000
IR,Medium,IR,Full Time,Intermediate Level,Data Engineer,USD,2021,185,100,4000,4000
GB,Medium,VN,Full Time,Senior Level,Data Analytics Engineer,USD,2021,186,100,50000,50000
ES,Small,FR,Full Time,Expert Level,Data Science Consultant,EUR,2021,187,100,59000,69741
GB,Small,RO,Full Time,Senior Level,Data Engineer,EUR,2021,188,50,65000,76833
JP,Small,JP,Full Time,Intermediate Level,Machine Learning Engineer,USD,2021,189,50,74000,74000
FR,Large,US,Full Time,Senior Level,Data Science Manager,USD,2021,190,100,152000,152000
CO,Medium,CO,Full Time,Entry Level,Machine Learning Engineer,USD,2021,191,50,21844,21844
MD,Small,MD,Full Time,Intermediate Level,Big Data Engineer,USD,2021,192,0,18000,18000
US,Large,US,Full Time,Senior Level,Data Science Manager,USD,2021,193,100,174000,174000
CA,Large,CA,Full Time,Senior Level,Research Scientist,CAD,2021,194,50,120500,96113
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2021,195,50,147000,147000
KE,Small,KE,Full Time,Entry Level,BI Data Analyst,USD,2021,196,100,9272,9272
IN,Large,IN,Full Time,Senior Level,Machine Learning Engineer,INR,2021,197,100,1799997,24342
US,Large,IN,Full Time,Senior Level,Data Science Manager,INR,2021,198,50,4000000,54094
US,Small,US,Full Time,Entry Level,Data Science Consultant,USD,2021,199,100,90000,90000
AT,Medium,DE,Full Time,Intermediate Level,Data Scientist,EUR,2021,200,50,52000,61467
US,Medium,US,Full Time,Senior Level,Machine Learning Infrastructure Engineer,USD,2021,201,100,195000,195000
ES,Large,ES,Full Time,Intermediate Level,Data Scientist,EUR,2021,202,100,32000,37825
US,Small,FR,Full Time,Senior Level,Research Scientist,USD,2021,203,100,50000,50000
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2021,204,100,160000,160000
BR,Small,BR,Full Time,Intermediate Level,Data Scientist,BRL,2021,205,0,69600,12901
US,Large,US,Full Time,Senior Level,Machine Learning Engineer,USD,2021,206,100,200000,200000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2021,207,0,165000,165000
US,Large,IT,Freelance,Intermediate Level,Data Engineer,USD,2021,208,0,20000,20000
US,Large,US,Full Time,Senior Level,Data Analytics Manager,USD,2021,209,0,120000,120000
SI,Large,SI,Full Time,Intermediate Level,Machine Learning Engineer,EUR,2021,210,50,21000,24823
FR,Small,FR,Full Time,Intermediate Level,Research Scientist,EUR,2021,211,50,48000,56738
GB,Small,HK,Full Time,Intermediate Level,Data Engineer,GBP,2021,212,50,48000,66022
CH,Large,IN,Full Time,Entry Level,Big Data Engineer,INR,2021,213,0,435000,5882
DE,Medium,DE,Full Time,Entry Level,Machine Learning Engineer,EUR,2021,214,50,21000,24823
US,Large,US,Full Time,Senior Level,Principal Data Engineer,USD,2021,215,100,185000,185000
DK,Small,DK,Part Time,Entry Level,Computer Vision Engineer,DKK,2021,216,50,180000,28609
DE,Large,DE,Full Time,Intermediate Level,Data Scientist,EUR,2021,217,50,76760,90734
BE,Medium,BE,Full Time,Intermediate Level,Machine Learning Engineer,EUR,2021,218,100,75000,88654
US,Large,US,Full Time,Senior Level,Data Analytics Manager,USD,2021,219,100,140000,140000
PL,Large,PL,Full Time,Intermediate Level,Machine Learning Engineer,PLN,2021,220,100,180000,46597
GB,Large,GB,Full Time,Intermediate Level,Data Scientist,GBP,2021,221,50,85000,116914
IN,Medium,IN,Full Time,Intermediate Level,Data Scientist,INR,2021,222,0,2500000,33808
GB,Large,GB,Full Time,Intermediate Level,Data Scientist,GBP,2021,223,50,40900,56256
CA,Large,US,Full Time,Senior Level,Machine Learning Scientist,USD,2021,224,100,225000,225000
US,Small,US,Contract,Expert Level,Principal Data Scientist,USD,2021,225,100,416000,416000
CA,Small,CA,Full Time,Senior Level,Data Scientist,CAD,2021,226,100,110000,87738
DE,Large,DE,Full Time,Intermediate Level,Data Scientist,EUR,2021,227,50,75000,88654
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2021,228,0,135000,135000
CA,Medium,CA,Full Time,Senior Level,Data Analyst,CAD,2021,229,100,90000,71786
IN,Large,IN,Full Time,Entry Level,Big Data Engineer,INR,2021,230,100,1200000,16228
US,Small,US,Full Time,Senior Level,ML Engineer,USD,2021,231,100,256000,256000
US,Large,US,Full Time,Senior Level,Director of Data Engineering,USD,2021,232,100,200000,200000
US,Large,US,Full Time,Senior Level,Data Analyst,USD,2021,233,100,200000,200000
US,Large,US,Full Time,Intermediate Level,Data Architect,USD,2021,234,100,180000,180000
US,Small,US,Full Time,Intermediate Level,Head of Data Science,USD,2021,235,0,110000,110000
CA,Medium,CA,Full Time,Intermediate Level,Research Scientist,CAD,2021,236,100,80000,63810
ES,Medium,ES,Full Time,Intermediate Level,Data Scientist,EUR,2021,237,100,39600,46809
VN,Medium,VN,Full Time,Entry Level,Data Scientist,USD,2021,238,0,4000,4000
IN,Medium,IN,Full Time,Entry Level,Data Engineer,INR,2021,239,50,1600000,21637
CA,Large,CA,Full Time,Senior Level,Data Scientist,CAD,2021,240,100,130000,103691
US,Large,US,Full Time,Intermediate Level,Data Analyst,USD,2021,241,100,80000,80000
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2021,242,100,110000,110000
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2021,243,100,165000,165000
AS,Small,IN,Full Time,Entry Level,AI Scientist,INR,2021,244,100,1335000,18053
GB,Large,GB,Full Time,Intermediate Level,Data Engineer,GBP,2021,245,50,52500,72212
FR,Large,FR,Full Time,Entry Level,Data Scientist,EUR,2021,246,50,31000,36643
TR,Medium,TR,Full Time,Intermediate Level,Data Engineer,TRY,2021,247,0,108000,12103
GB,Large,GB,Full Time,Senior Level,Data Engineer,GBP,2021,248,50,70000,96282
US,Medium,US,Full Time,Senior Level,Principal Data Analyst,USD,2021,249,100,170000,170000
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2021,250,50,115000,115000
US,Small,US,Full Time,Entry Level,Data Scientist,USD,2021,251,100,90000,90000
US,Large,US,Full Time,Expert Level,Principal Data Engineer,USD,2021,252,100,600000,600000
IN,Medium,IN,Full Time,Entry Level,Data Scientist,INR,2021,253,100,2100000,28399
US,Large,US,Full Time,Intermediate Level,Data Analyst,USD,2021,254,100,93000,93000
CA,Medium,CA,Full Time,Senior Level,Big Data Architect,CAD,2021,255,50,125000,99703
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2021,256,100,200000,200000
DE,Medium,DE,Full Time,Senior Level,Principal Data Scientist,EUR,2021,257,100,147000,173762
US,Large,US,Full Time,Senior Level,Machine Learning Engineer,USD,2021,258,50,185000,185000
DE,Large,DE,Full Time,Expert Level,Director of Data Science,EUR,2021,259,0,120000,141846
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2021,260,50,130000,130000
DE,Large,DE,Full Time,Senior Level,Data Analyst,EUR,2021,261,50,54000,63831
IN,Small,IN,Full Time,Intermediate Level,Data Scientist,INR,2021,262,100,1250000,16904
IN,Large,IN,Full Time,Senior Level,Machine Learning Engineer,INR,2021,263,0,4900000,66265
DE,Small,RS,Full Time,Intermediate Level,Data Scientist,EUR,2021,264,100,21600,25532
US,Small,PR,Full Time,Senior Level,Lead Data Engineer,USD,2021,265,50,160000,160000
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2021,266,0,93150,93150
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2021,267,0,111775,111775
TR,Medium,TR,Full Time,Intermediate Level,Data Engineer,TRY,2021,268,100,250000,28016
DE,Medium,DE,Full Time,Entry Level,Data Engineer,EUR,2021,269,50,55000,65013
US,Large,US,Full Time,Entry Level,Data Engineer,USD,2021,270,100,72500,72500
BR,Medium,BR,Full Time,Senior Level,Computer Vision Engineer,BRL,2021,271,0,102000,18907
DE,Large,DE,Full Time,Entry Level,Data Science Consultant,EUR,2021,272,0,65000,76833
DE,Small,NL,Full Time,Entry Level,Machine Learning Engineer,USD,2021,273,100,85000,85000
FR,Medium,FR,Full Time,Senior Level,Data Scientist,EUR,2021,274,50,65720,77684
US,Medium,US,Full Time,Entry Level,Data Scientist,USD,2021,275,100,100000,100000
US,Large,US,Full Time,Entry Level,Data Scientist,USD,2021,276,50,58000,58000
ES,Large,ES,Full Time,Senior Level,AI Scientist,USD,2021,277,100,55000,55000
TR,Large,TR,Full Time,Senior Level,Data Scientist,TRY,2021,278,50,180000,20171
LU,Large,LU,Full Time,Entry Level,Business Data Analyst,EUR,2021,279,100,50000,59102
US,Large,US,Full Time,Intermediate Level,Data Engineer,USD,2021,280,100,112000,112000
CN,Large,JE,Full Time,Entry Level,Research Scientist,USD,2021,281,0,100000,100000
NL,Large,NL,Part Time,Intermediate Level,Data Engineer,EUR,2021,282,100,59000,69741
US,Medium,US,Contract,Senior Level,Staff Data Scientist,USD,2021,283,100,105000,105000
CZ,Large,CZ,Full Time,Intermediate Level,Research Scientist,USD,2021,284,50,69999,69999
IN,Large,IN,Full Time,Senior Level,Data Science Manager,INR,2021,285,50,7000000,94665
SI,Large,SI,Full Time,Senior Level,Head of Data,EUR,2021,286,100,87000,102839
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2021,287,50,109000,109000
IT,Large,IT,Full Time,Intermediate Level,Machine Learning Engineer,EUR,2021,288,50,43200,51064
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,289,100,135000,135000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,290,100,155000,155000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,291,100,120600,120600
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,292,0,130000,130000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,293,0,90000,90000
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2022,294,100,170000,170000
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2022,295,100,150000,150000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,296,100,102100,102100
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,297,100,84900,84900
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,298,100,136620,136620
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,299,100,99360,99360
GB,Medium,GB,Full Time,Senior Level,Data Scientist,GBP,2022,300,0,90000,117789
GB,Medium,GB,Full Time,Senior Level,Data Scientist,GBP,2022,301,0,80000,104702
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,302,100,146000,146000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,303,100,123000,123000
GB,Medium,GB,Full Time,Entry Level,Data Engineer,GBP,2022,304,100,40000,52351
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,305,0,99000,99000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,306,0,116000,116000
US,Medium,US,Full Time,Intermediate Level,Data Analyst,USD,2022,307,0,106260,106260
